"eventType"; "eventType_subCategory"; "description"; "creation_date"; "valid_until"; "link"; "lng"; "lat"
event; market; Karl-August-Platz, Charlottenburg; 2016-01-13 07:00:00+00:00; 2016-01-13 12:00:00+00:00;;13.3103616;52.508476;
event; market; Karl-August-Platz, Charlottenburg; 2016-01-16 07:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.3103616;52.508476;
event; market; Mierendorffplatz, Charlottenburg; 2016-01-13 07:00:00+00:00; 2016-01-13 12:00:00+00:00;;13.3044753;52.5256873;
event; market; Mierendorffplatz, Charlottenburg; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.3044753;52.5256873;
event; market; Suarezstrasse, Charlottenburg; 2016-01-14 13:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.2949239;52.506637;
event; market; Charlottenbrunner Strasse, Schmargendorf ; 2016-01-11 08:00:00+00:00; 2016-01-11 13:00:00+00:00;;13.2946506;52.4883227;
event; market; Charlottenbrunner Strasse, Schmargendorf; 2016-01-14 08:00:00+00:00; 2016-01-14 13:00:00+00:00;;13.2946506;52.4883227;
event; market; Eberbacher Strasse, Wilmersdorf ; 2016-01-12 07:00:00+00:00; 2016-01-12 12:00:00+00:00;;13.3111529;52.4732773;
event; market; Eberbacher Strasse, Wilmersdorf ; 2016-01-15 07:00:00+00:00; 2016-01-15 12:00:00+00:00;;13.3111529;52.4732773;
event; market; Nestorstrasse, Halensee; 2016-01-12 07:00:00+00:00; 2016-01-12 12:00:00+00:00;;13.2996999;52.4951071;
event; market; Nestorstrasse, Halensee; 2016-01-15 07:00:00+00:00; 2016-01-15 12:00:00+00:00;;13.2996999;52.4951071;
event; market; Hohenzollernplatz, Wilmersdorf ; 2016-01-13 07:00:00+00:00; 2016-01-13 12:00:00+00:00;;13.3250462;52.4937524;
event; market; Hohenzollernplatz, Wilmersdorf; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.3250462;52.4937524;
event; market; Mainzer Strasse, Wilmersdorf; 2016-01-11 07:00:00+00:00; 2016-01-11 12:00:00+00:00;;13.3251237;52.4799046;
event; market; Mainzer Strasse, Wilmersdorf; 2016-01-14 07:00:00+00:00; 2016-01-14 12:00:00+00:00;;13.3251237;52.4799046;
event; market; Fehrbelliner Platz, Wilmersdorf; 2016-01-12 10:00:00+00:00; 2016-01-12 15:00:00+00:00;;13.3142252;52.4904064;
event; market; Fehrbelliner Platz, Wilmersdorf; 2016-01-14 10:00:00+00:00; 2016-01-14 15:00:00+00:00;;13.3142252;52.4904064;
event; market; Kolberger Platz, Schmargendorf; 2016-01-13 07:00:00+00:00; 2016-01-13 13:00:00+00:00;;13.291353;52.4768943;
event; market; Kolberger Platz, Schmargendorf; 2016-01-16 07:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.291353;52.4768943;
event; market; Bauernmarkt am Herthasee Bismarckallee 23, Grunewald; 2016-01-16 08:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.27725;52.48835;
event; market; Bauernmarkt am Lehniner Platz, Charlottenburg; 2016-01-16 08:00:00+00:00; 2016-01-16 14:00:00+00:00;;13.3018976;52.4994359;
event; market; Kino Kosmos, Karl-Marx-Allee 131 a, Friedrichshain; 2016-01-15 09:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.449666;52.5169191;
event; market; Boxhagener Platz, Friedrichshain; 2016-01-16 07:00:00+00:00; 2016-01-16 13:30:00+00:00;;13.4595932;52.5107889;
event; market; Koppenstrasse / Ecke Karl-Marx-Allee, Friedrichshain; 2016-01-12 09:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.4367544;52.5182474;
event; market; Koppenstrasse / Ecke Karl-Marx-Allee, Friedrichshain; 2016-01-14 09:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.4367544;52.5182474;
event; market; Am Kaufhof Ostbahnhof, Friedrichshain; 2016-01-11 08:00:00+00:00; 2016-01-11 17:00:00+00:00;;13.454574;52.515919;
event; market; Am Kaufhof Ostbahnhof, Friedrichshain; 2016-01-12 08:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.454574;52.515919;
